id_conf,run_id,mutation,neighbor,H,stop,nb solutions,hv,spacing,duration_batch
14,3,0.5,0.1,8,100,33,0.5619610855516795,0.14506127718323988,13.994094181060792
14,4,0.5,0.1,8,100,40,0.5489551969587624,0.14346008567687135,13.994094181060792
15,0,0.5,0.15,8,100,40,0.5898205222172503,0.12195939836338837,13.91081781387329
15,1,0.5,0.15,8,100,45,0.5677997109039197,0.12038471483458135,13.91081781387329
15,2,0.5,0.15,8,100,57,0.5598004869399776,0.11763633802422829,13.91081781387329
15,3,0.5,0.15,8,100,38,0.5742814037484293,0.13014613128927666,13.91081781387329
15,4,0.5,0.15,8,100,63,0.5554236023871256,0.11342753365433628,13.91081781387329
16,0,0.5,0.2,8,100,92,0.578862047356673,0.09702082780454281,14.24103798866272
16,1,0.5,0.2,8,100,43,0.5688585234545864,0.15818790616042777,14.24103798866272
16,2,0.5,0.2,8,100,37,0.5596453056287917,0.1498558841539207,14.24103798866272
16,3,0.5,0.2,8,100,24,0.46699264430377274,0.2073526385101751,14.24103798866272
16,4,0.5,0.2,8,100,34,0.569145852382154,0.20021272998885256,14.24103798866272
21,0,0.2,0.05,10,100,167,0.5846697195422418,0.06676408218770893,14.233093404769898
21,1,0.2,0.05,10,100,175,0.577083196805993,0.080451860755791,14.233093404769898
21,2,0.2,0.05,10,100,248,0.564636600815776,0.06443923428140344,14.233093404769898
21,3,0.2,0.05,10,100,120,0.5855377261992091,0.08148042687818152,14.233093404769898
21,4,0.2,0.05,10,100,159,0.5594674982369472,0.0860705811845494,14.233093404769898
19,0,0.1,0.15,10,100,96,0.5659459826872307,0.08645354673463854,20.49187078475952
19,1,0.1,0.15,10,100,43,0.5593511005317586,0.14193727442803536,20.49187078475952
19,2,0.1,0.15,10,100,90,0.5603204060501025,0.1007914981053723,20.49187078475952
19,3,0.1,0.15,10,100,46,0.5539319205037114,0.1429261083917022,20.49187078475952
19,4,0.1,0.15,10,100,27,0.5417578688061684,0.1994690885732786,20.49187078475952
17,0,0.1,0.05,10,100,129,0.5824313371901676,0.07840262344445435,20.771803522109984
17,1,0.1,0.05,10,100,156,0.5539156188277591,0.0752938920392308,20.771803522109984
17,2,0.1,0.05,10,100,44,0.5573244979379499,0.1252257002276289,20.771803522109984
17,3,0.1,0.05,10,100,97,0.582928601528819,0.08811785934844939,20.771803522109984
17,4,0.1,0.05,10,100,103,0.5597756890612432,0.09600665031979506,20.771803522109984
18,0,0.1,0.1,10,100,60,0.584459642213549,0.10306112846448134,21.020343160629274
